-1,RootNode
1,Hips
2,Spine
3,Spine1
4,Spine2
5,Neck
6,Head
7,HeadTop_End
8,LeftShoulder
9,LeftArm
10,LeftForeArm
11,LeftHand
12,LeftHandThumb1
13,LeftHandThumb2
14,LeftHandThumb3
15,LeftHandThumb4
16,LeftHandIndex1
17,LeftHandIndex2
18,LeftHandIndex3
19,LeftHandIndex4
20,LeftHandMiddle1
21,LeftHandMiddle2
22,LeftHandMiddle3
23,LeftHandMiddle4
24,LeftHandRing1
25,LeftHandRing2
26,LeftHandRing3
27,LeftHandRing4
28,LeftHandPinky1
29,LeftHandPinky2
30,LeftHandPinky3
31,LeftHandPinky4
32,RightShoulder
33,RightArm
34,RightForeArm
35,RightHand
36,RightHandIndex1
37,RightHandIndex2
38,RightHandIndex3
39,RightHandIndex4
40,RightHandThumb1
41,RightHandThumb2
42,RightHandThumb3
43,RightHandThumb4
44,RightHandMiddle1
45,RightHandMiddle2
46,RightHandMiddle3
47,RightHandMiddle4
48,RightHandRing1
49,RightHandRing2
50,RightHandRing3
51,RightHandRing4
52,RightHandPinky1
53,RightHandPinky2
54,RightHandPinky3
55,RightHandPinky4
56,LeftUpLeg
57,LeftLeg
58,LeftFoot
59,LeftToeBase
60,LeftToe_End
61,RightUpLeg
62,RightLeg
63,RightFoot
64,RightToeBase
65,RightToe_End
66,Kachujin

95.780312,162.876343,8.260962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.747566,163.353851,8.797068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.525360,163.457626,8.628009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.539352,163.156128,8.162120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.745705,163.192505,7.598661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.546944,163.408005,7.776351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.753639,163.851318,8.698086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.430130,163.899094,8.666885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.525360,163.457626,8.628009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.747566,163.353851,8.797068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.738823,163.995895,8.188679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.465637,164.011292,8.214725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.679253,163.813263,7.649280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.745705,163.192505,7.598661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.546944,163.408005,7.776351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.471306,163.854797,7.710437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.774559,163.646393,7.896091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.663521,163.920563,7.882167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.841393,163.636810,8.164973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.774559,163.646393,7.896091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.774757,163.716949,8.456378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.707809,163.937485,8.455036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.774757,163.716949,8.456378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.739235,163.973907,8.193008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.841393,163.636810,8.164973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.774757,163.716949,8.456378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.187742,26.749872,-1.334247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.274701,22.242886,-1.202284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.567647,22.256559,-0.086203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.645391,26.653971,-0.172544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.137966,22.209112,-1.013203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.007873,26.774403,-1.178178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.068834,26.725180,-0.013396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.315192,22.180115,0.163968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.030416,38.098675,-2.329231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.013195,32.060623,-1.581028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.832019,31.989101,-0.330523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.149395,38.140434,-1.033081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.775935,32.041523,-1.449578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.728798,38.004147,-2.244283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.235640,37.894051,-1.059071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.662493,31.960152,-0.296950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.174445,48.748253,-4.293638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.064883,43.747547,-3.181844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.494467,43.862831,-1.820231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.818569,48.955460,-3.019532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.726231,43.614525,-3.119558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.801954,48.595875,-4.175127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.593002,48.488979,-2.807387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.862699,43.482449,-1.866544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.399498,17.929871,-1.371272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.413013,14.911856,-1.616100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.842055,14.225519,-0.263383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.674239,17.915436,-0.175106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.446476,14.756168,-1.440443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.312264,17.871820,-1.197347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.508613,17.789347,0.028346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.643884,13.991264,-0.101066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.671465,13.653694,0.048816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.450884,17.863367,0.035801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.665100,17.953964,-0.929035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.813342,14.263288,-1.039893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.410397,22.257677,0.153532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.563713,26.657558,0.071379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.646592,26.691936,-0.899245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.561343,22.292334,-0.818350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.825335,31.999680,-0.110412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.219135,38.154003,-0.793043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.172237,38.173317,-1.723411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.849698,32.022499,-1.036239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.641859,43.912357,-1.498718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.524239,43.891144,-2.505905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.027302,49.061707,-2.745590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.851334,48.983837,-3.706604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.012753,12.871082,-1.040088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.776667,12.069007,0.036994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.393453,13.690866,-1.806742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
