-1,RootNode
1,character/tauren/male/taurenmale
2,character/tauren/male/taurenmale_rig
3,character/tauren/male/taurenmale_bone_0
4,character/tauren/male/taurenmale_bone_1
5,character/tauren/male/taurenmale_bone_2
6,character/tauren/male/taurenmale_bone_4
7,character/tauren/male/taurenmale_bone_11
8,character/tauren/male/taurenmale_bone_19
9,character/tauren/male/taurenmale_bone_5
10,character/tauren/male/taurenmale_bone_12
11,character/tauren/male/taurenmale_bone_13
12,character/tauren/male/taurenmale_bone_20
13,character/tauren/male/taurenmale_bone_31
14,character/tauren/male/taurenmale_bone_40
15,character/tauren/male/taurenmale_bone_194
16,character/tauren/male/taurenmale_bone_195
17,character/tauren/male/taurenmale_bone_21
18,character/tauren/male/taurenmale_bone_32
19,character/tauren/male/taurenmale_bone_177
20,character/tauren/male/taurenmale_bone_6
21,character/tauren/male/taurenmale_bone_14
22,character/tauren/male/taurenmale_bone_22
23,character/tauren/male/taurenmale_bone_33
24,character/tauren/male/taurenmale_bone_23
25,character/tauren/male/taurenmale_bone_34
26,character/tauren/male/taurenmale_bone_41
27,character/tauren/male/taurenmale_bone_193
28,character/tauren/male/taurenmale_bone_196
29,character/tauren/male/taurenmale_bone_15
30,character/tauren/male/taurenmale_bone_178
31,character/tauren/male/taurenmale_bone_7
32,character/tauren/male/taurenmale_bone_16
33,character/tauren/male/taurenmale_bone_24
34,character/tauren/male/taurenmale_bone_8
35,character/tauren/male/taurenmale_bone_17
36,character/tauren/male/taurenmale_bone_25
37,character/tauren/male/taurenmale_bone_35
38,character/tauren/male/taurenmale_bone_9
39,character/tauren/male/taurenmale_bone_176
40,character/tauren/male/taurenmale_bone_166
41,character/tauren/male/taurenmale_bone_167
42,character/tauren/male/taurenmale_bone_3
43,character/tauren/male/taurenmale_bone_10
44,character/tauren/male/taurenmale_bone_18
45,character/tauren/male/taurenmale_bone_26
46,character/tauren/male/taurenmale_bone_27
47,character/tauren/male/taurenmale_bone_36
48,character/tauren/male/taurenmale_bone_42
49,character/tauren/male/taurenmale_bone_50
50,character/tauren/male/taurenmale_bone_108
51,character/tauren/male/taurenmale_bone_28
52,character/tauren/male/taurenmale_bone_37
53,character/tauren/male/taurenmale_bone_43
54,character/tauren/male/taurenmale_bone_44
55,character/tauren/male/taurenmale_bone_201
56,character/tauren/male/taurenmale_bone_45
57,character/tauren/male/taurenmale_bone_51
58,character/tauren/male/taurenmale_bone_109
59,character/tauren/male/taurenmale_bone_143
60,character/tauren/male/taurenmale_bone_110
61,character/tauren/male/taurenmale_bone_144
62,character/tauren/male/taurenmale_bone_111
63,character/tauren/male/taurenmale_bone_145
64,character/tauren/male/taurenmale_bone_112
65,character/tauren/male/taurenmale_bone_212
66,character/tauren/male/taurenmale_bone_215
67,character/tauren/male/taurenmale_bone_218
68,character/tauren/male/taurenmale_bone_113
69,character/tauren/male/taurenmale_bone_211
70,character/tauren/male/taurenmale_bone_52
71,character/tauren/male/taurenmale_bone_53
